State Imports by HS Commodities,,,,,,,
Current date: 07/30/2025 1:59 PM (Eastern Daylight Time),,,,,,,
State,Commodity,Country,Time,Vessel Value ($US),Customs Containerized Vessel Value (Gen) ($US),Vessel SWT (kg),Containerized Vessel SWT (Gen) (kg)
Iowa,02 Meat And Edible Meat Offal,Central America and Caribbean,Nov-16,"218,992","218,992","56,993","56,993"
Iowa,02 Meat And Edible Meat Offal,Central America and Caribbean,Dec-16,"156,324","156,324","38,540","38,540"
Iowa,02 Meat And Edible Meat Offal,Central America and Caribbean,Jan-17,"75,800","75,800","19,051","19,051"
Iowa,02 Meat And Edible Meat Offal,Central America and Caribbean,Feb-17,"66,396","66,396","19,233","19,233"
Iowa,02 Meat And Edible Meat Offal,Central America and Caribbean,Oct-17,"146,029","146,029","37,858","37,858"
Iowa,02 Meat And Edible Meat Offal,Central America and Caribbean,Nov-17,"79,391","79,391","19,270","19,270"
Iowa,02 Meat And Edible Meat Offal,Central America and Caribbean,Jan-18,"96,492","96,492","23,767","23,767"
Iowa,02 Meat And Edible Meat Offal,Central America and Caribbean,Feb-18,"268,545","268,545","56,767","56,767"
Iowa,02 Meat And Edible Meat Offal,Central America and Caribbean,Mar-18,"195,250","195,250","38,977","38,977"
Iowa,02 Meat And Edible Meat Offal,Central America and Caribbean,May-18,"85,090","85,090","19,051","19,051"
Iowa,02 Meat And Edible Meat Offal,Central America and Caribbean,Jun-18,"101,074","101,074","19,749","19,749"
Iowa,02 Meat And Edible Meat Offal,Central America and Caribbean,Jul-18,"84,300","84,300","19,750","19,750"
Iowa,02 Meat And Edible Meat Offal,Central America and Caribbean,Sep-18,"178,594","178,594","38,806","38,806"
Iowa,02 Meat And Edible Meat Offal,Central America and Caribbean,Oct-18,"149,180","149,180","38,103","38,103"
Iowa,02 Meat And Edible Meat Offal,Central America and Caribbean,Feb-19,"80,676","80,676","19,214","19,214"
Iowa,02 Meat And Edible Meat Offal,Central America and Caribbean,Mar-19,"254,220","254,220","58,190","58,190"
Iowa,02 Meat And Edible Meat Offal,Central America and Caribbean,Apr-19,"102,275","102,275","19,749","19,749"
Iowa,02 Meat And Edible Meat Offal,Central America and Caribbean,May-19,"180,780","180,780","39,491","39,491"
Iowa,02 Meat And Edible Meat Offal,Central America and Caribbean,Nov-19,"300,873","300,873","58,702","58,702"
Iowa,02 Meat And Edible Meat Offal,Central America and Caribbean,Dec-19,"418,260","418,260","79,072","79,072"
Iowa,02 Meat And Edible Meat Offal,Central America and Caribbean,Jan-20,"202,200","202,200","39,500","39,500"
Iowa,02 Meat And Edible Meat Offal,Central America and Caribbean,Jun-20,"268,972","268,972","59,250","59,250"
Iowa,02 Meat And Edible Meat Offal,Central America and Caribbean,Aug-20,"404,600","404,600","98,750","98,750"
Iowa,02 Meat And Edible Meat Offal,Central America and Caribbean,Sep-20,"118,686","118,686","19,744","19,744"
Iowa,02 Meat And Edible Meat Offal,Central America and Caribbean,Oct-20,"74,690","74,690","19,750","19,750"
Iowa,02 Meat And Edible Meat Offal,Central America and Caribbean,Nov-20,"75,782","75,782","19,668","19,668"
Iowa,02 Meat And Edible Meat Offal,Central America and Caribbean,Dec-20,"227,346","227,346","59,112","59,112"
Iowa,02 Meat And Edible Meat Offal,Central America and Caribbean,Feb-21,"80,844","80,844","19,891","19,891"
Iowa,02 Meat And Edible Meat Offal,Central America and Caribbean,Mar-21,"150,528","150,528","39,500","39,500"
Iowa,02 Meat And Edible Meat Offal,Central America and Caribbean,Apr-21,"177,520","177,520","39,500","39,500"
Iowa,02 Meat And Edible Meat Offal,Central America and Caribbean,May-21,"259,365","259,365","58,696","58,696"
Iowa,02 Meat And Edible Meat Offal,Central America and Caribbean,Jun-21,"378,980","378,980","79,000","79,000"
Iowa,02 Meat And Edible Meat Offal,Central America and Caribbean,Jul-21,"316,908","316,908","58,279","58,279"
Iowa,02 Meat And Edible Meat Offal,Central America and Caribbean,Sep-21,"93,590","93,590","19,750","19,750"
Iowa,02 Meat And Edible Meat Offal,Central America and Caribbean,Nov-21,"57,900","57,900","21,991","21,991"
Iowa,02 Meat And Edible Meat Offal,South America,May-08,"116,022","116,022","27,150","27,150"
Iowa,02 Meat And Edible Meat Offal,South America,Apr-15,"87,375","87,375","17,905","17,905"
Iowa,02 Meat And Edible Meat Offal,South America,May-15,"89,826","89,826","17,905","17,905"
Iowa,02 Meat And Edible Meat Offal,South America,Sep-16,"144,611","144,611","34,256","34,256"
Iowa,02 Meat And Edible Meat Offal,South America,Nov-16,"216,149","216,149","43,363","43,363"
Iowa,02 Meat And Edible Meat Offal,South America,Mar-17,"276,336","276,336","62,208","62,208"
Iowa,02 Meat And Edible Meat Offal,South America,May-17,"178,599","178,599","45,517","45,517"
Iowa,02 Meat And Edible Meat Offal,South America,Oct-17,"100,138","100,138","24,029","24,029"
Iowa,02 Meat And Edible Meat Offal,South America,Mar-18,"205,071","205,071","35,976","35,976"
Iowa,02 Meat And Edible Meat Offal,South America,Aug-18,"213,651","213,651","36,009","36,009"
Iowa,02 Meat And Edible Meat Offal,South America,Jan-19,"184,565","184,565","27,660","27,660"
Iowa,02 Meat And Edible Meat Offal,South America,Feb-19,"179,421","179,421","27,063","27,063"
Iowa,02 Meat And Edible Meat Offal,South America,Aug-19,"132,310","132,310","27,836","27,836"
Iowa,02 Meat And Edible Meat Offal,South America,Sep-20,"206,464","206,464","33,703","33,703"
Iowa,02 Meat And Edible Meat Offal,South America,Oct-20,"74,545","74,545","10,030","10,030"
